LoadTap_eighths,LoadRatio,LoadPower_VA,LoadResistance_ohm,Brightness,Iref_Arms,Ki,Peak_Arms,Overshoot_A,Overshoot_pct,Final_Arms,FinalError_A,SettlingTime_s,MaxContinuous120Duration_s,MeetsFAASettling,MeetsIECSettling,MeetsFAATransient120Duration,MeetsIECStepSurgeLimit,Pass,Score,Error
4,0.2,488.4,11.2121212121212,B0,1.5,40,1.48642714512812,0,0,1.48642707245827,-0.0135729275417336,0.8198,0,1,0,1,1,1,0.16396,
4,0.2,488.4,11.2121212121212,B0,1.5,50,1.48642714658574,0,0,1.48642708385428,-0.013572916145725,0.6498,0,1,0,1,1,1,0.12996,
4,0.2,488.4,11.2121212121212,B0,1.5,60,1.48642714526252,0,0,1.48642707340939,-0.0135729265906128,0.5398,0,1,0,1,1,1,0.10796,
4,0.2,488.4,11.2121212121212,B0,1.5,70,1.48642717259954,0,0,1.4864270860828,-0.0135729139172043,0.4598,0,1,1,1,1,1,0.09196,
4,0.2,488.4,11.2121212121212,B0,1.5,80,1.48642714995855,0,0,1.48642711577429,-0.0135728842257143,0.4098,0,1,1,1,1,1,0.08196,
4,0.2,488.4,11.2121212121212,B0,1.5,90,1.48642714655991,0,0,1.48642707135983,-0.0135729286401671,0.3598,0,1,1,1,1,1,0.07196,
4,0.2,488.4,11.2121212121212,B0,1.5,100,1.48642714561021,0,0,1.48642708687191,-0.0135729131280855,0.3298,0,1,1,1,1,1,0.06596,
4,0.2,488.4,11.2121212121212,B0,1.5,110,1.48642714513202,0,0,1.48642707210101,-0.0135729278989924,0.2998,0,1,1,1,1,1,0.05996,
4,0.2,488.4,11.2121212121212,B0,1.5,120,1.48642715600576,0,0,1.486427073762,-0.013572926237998,0.2698,0,1,1,1,1,1,0.05396,
4,0.2,488.4,11.2121212121212,B0,1.5,130,1.48642714682165,0,0,1.48642708269486,-0.0135729173051378,0.2498,0,1,1,1,1,1,0.04996,
4,0.2,488.4,11.2121212121212,B0,1.5,140,1.71296752597138,0.212967525971376,14.1978350647584,1.71296752597138,0.212967525971376,NaN,0,0,0,1,1,0,138.525838194139,
4,0.2,488.4,11.2121212121212,B0,1.5,150,1.71296613460651,0.212966134606508,14.1977423071005,1.48642707930277,-0.0135729206972315,0.86975,0,1,0,1,1,1,6.1062115764674,
4,0.2,488.4,11.2121212121212,B0,1.5,160,1.71296631048265,0.212966310482647,14.1977540321765,1.53282672686658,0.0328267268665794,0.99975,0,1,0,1,1,1,6.1322206047759,
4,0.2,488.4,11.2121212121212,B0,1.5,170,1.71296954609059,0.212969546090595,14.197969739373,1.48642707137344,-0.0135729286265622,0.82975,0,1,0,1,1,1,6.09838669931721,
4,0.2,488.4,11.2121212121212,B0,1.5,180,1.71297156208709,0.21297156208709,14.1981041391394,1.48642707620332,-0.0135729237966795,0.85975,0,1,0,1,1,1,6.10449018713731,
4,0.2,488.4,11.2121212121212,B0,1.5,190,1.71296319332283,0.212963193322835,14.1975462215223,1.48642722325172,-0.0135727767482794,0.95975,0,1,0,1,1,1,6.12406059057218,
4,0.2,488.4,11.2121212121212,B0,1.5,200,1.7129704879284,0.212970487928404,14.1980325285603,1.48642707165324,-0.0135729283467596,0.90975,0,1,0,1,1,1,6.11443504699142,
4,0.2,488.4,11.2121212121212,B0,1.5,210,1.71296971934107,0.212969719341066,14.1979812894044,1.48642708470135,-0.0135729152986539,0.97975,0,1,0,1,1,1,6.12839559284138,
4,0.2,488.4,11.2121212121212,B0,1.5,220,1.71297043544483,0.212970435444833,14.1980290296555,1.48642711837949,-0.0135728816205096,0.93975,0,1,0,1,1,1,6.12043235283476,
4,0.2,488.4,11.2121212121212,B0,1.5,230,1.71296950735535,0.212969507355346,14.197967157023,1.48642712693631,-0.0135728730636915,0.79975,0,1,0,1,1,1,6.09238471090775,
4,0.2,488.4,11.2121212121212,B0,1.5,240,1.71297291045004,0.212972910450043,14.1981940300029,1.4864270939505,-0.0135729060495047,0.98975,0,1,0,1,1,1,6.13055940310222,
4,0.2,488.4,11.2121212121212,B0,1.5,250,1.7129735715478,0.212973571547803,14.1982381031869,1.48642707987653,-0.0135729201234724,0.74975,0,1,0,1,1,1,6.08259333945391,
4,0.2,488.4,11.2121212121212,B0,1.5,260,1.71297133332415,0.212971333324147,14.1980888882764,1.486427108961,-0.0135728910390014,0.83975,0,1,0,1,1,1,6.10047844397287,
4,0.2,488.4,11.2121212121212,B0,1.5,270,1.71297210182639,0.212972101826391,14.1981401217594,1.48642710285171,-0.0135728971482909,0.93975,0,1,0,1,1,1,6.12051789375475,
4,0.2,488.4,11.2121212121212,B0,1.5,280,1.71297809143,0.212978091429998,14.1985394286665,1.48642707927737,-0.0135729207226263,0.85975,0,1,0,1,1,1,6.10482536007321,
4,0.2,488.4,11.2121212121212,B0,1.5,290,1.71296817109995,0.212968171099951,14.1978780733301,1.48642714123493,-0.013572858765073,0.69975,0,1,0,1,1,1,6.07231611646417,
4,0.2,488.4,11.2121212121212,B0,1.5,300,1.71297208858506,0.212972088585061,14.1981392390041,1.48642707538159,-0.013572924618412,0.88975,0,1,0,1,1,1,6.11051721403315,
4,0.2,488.4,11.2121212121212,B0,1.5,310,1.71296995123943,0.212969951239428,14.1979967492952,1.48642712115945,-0.0135728788405476,0.76975,0,1,0,1,1,1,6.08640749695732,
4,0.2,488.4,11.2121212121212,B0,1.5,320,1.71297430516195,0.212974305161947,14.1982870107964,1.4864270869192,-0.0135729130808027,0.85975,0,1,0,1,1,1,6.10463099831326,
4,0.2,488.4,11.2121212121212,B1,2.8,40,2.90311905017264,0.103119050172636,3.68282322045128,2.90311891826168,0.103118918261679,NaN,0,0,0,1,1,0,110.853392625377,
4,0.2,488.4,11.2121212121212,B1,2.8,50,2.90311904044618,0.103119040446181,3.68282287307788,2.69474911518976,-0.105250884810239,NaN,0,0,0,1,1,0,111.279785441818,
4,0.2,488.4,11.2121212121212,B1,2.8,60,2.90311908401563,0.103119084015626,3.6828244291295,2.90311890993386,0.103118909933856,NaN,0,0,0,1,1,0,110.853392676135,
4,0.2,488.4,11.2121212121212,B1,2.8,70,2.90311902631771,0.103119026317711,3.68282236848968,2.65714198503775,-0.142858014962253,NaN,0,0,0,1,1,0,118.801210755706,
4,0.2,488.4,11.2121212121212,B1,2.8,80,2.90311908319291,0.103119083192909,3.68282439974675,2.65715330237635,-0.142846697623652,NaN,0,0,0,1,1,0,118.798950172371,
4,0.2,488.4,11.2121212121212,B1,2.8,90,2.90311910583243,0.10311910583243,3.68282520830107,2.69475348941266,-0.105246510587344,NaN,0,0,0,1,1,0,111.278913913256,
4,0.2,488.4,11.2121212121212,B1,2.8,100,2.90311912836997,0.103119128369973,3.68282601321333,2.65713011482094,-0.142869885179064,NaN,0,0,0,1,1,0,118.803589974576,
4,0.2,488.4,11.2121212121212,B1,2.8,110,2.90311909427725,0.103119094277253,3.68282479561618,2.6571317634454,-0.142868236554599,NaN,0,0,0,1,1,0,118.803258520695,
4,0.2,488.4,11.2121212121212,B1,2.8,120,2.90311917811449,0.10311917811449,3.68282778980321,2.69473258064913,-0.105267419350873,NaN,0,0,0,1,1,0,111.283099331695,
4,0.2,488.4,11.2121212121212,B1,2.8,130,2.90311901730388,0.103119017303878,3.68282204656708,2.86826702763295,0.0682670276329471,0.9993,0,1,0,1,1,1,0.429467306125256,
4,0.2,488.4,11.2121212121212,B1,2.8,140,2.9031191293975,0.103119129397501,3.68282604991075,2.694759625598,-0.105240374401996,NaN,0,0,0,1,1,0,111.277687871272,
4,0.2,488.4,11.2121212121212,B1,2.8,150,2.90311903351739,0.103119033517388,3.682822625621,2.65713641122281,-0.142863588777189,NaN,0,0,0,1,1,0,118.80232588382,
4,0.2,488.4,11.2121212121212,B1,2.8,160,2.90311906941104,0.103119069411036,3.68282390753702,2.90311889739089,0.103118897390892,NaN,0,0,0,1,1,0,110.853389426881,
4,0.2,488.4,11.2121212121212,B1,2.8,170,2.90311909710789,0.103119097107888,3.68282489671028,2.90311896822978,0.10311896822978,NaN,0,0,0,1,1,0,110.853404999285,
4,0.2,488.4,11.2121212121212,B1,2.8,180,2.90311907112107,0.103119071121069,3.68282396860962,2.69473791820429,-0.105262081795711,NaN,0,0,0,1,1,0,111.282026394568,
4,0.2,488.4,11.2121212121212,B1,2.8,190,2.90311909450519,0.103119094505193,3.68282480375689,2.90311896787464,0.103118967874645,NaN,0,0,0,1,1,0,110.853404796264,
